Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*204C WC-H*BY.R.L.2700.2700.2.04C*0000000000004OB1,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*205 Wiss. Leitung*BY.R.L.2700.2700.2.05*0000000000004OCW,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*206 W.A.*BY.R.L.2700.2700.2.06*0000000000004OAQ,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*207 Sozialraum*BY.R.L.2700.2700.2.07*0000000000004OAH,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*207A Lagerraum*BY.R.L.2700.2700.2.07A*0000000000004OAJ,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*208 W.A.-Gäste*BY.R.L.2700.2700.2.08*0000000000004OBX,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*208A Konferenzraum*BY.R.L.2700.2700.2.08A*0000000000004OCU,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*209 W.A.*BY.R.L.2700.2700.2.09*0000000000004OAP,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*210 W.A.*BY.R.L.2700.2700.2.10*0000000000004OBI,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*211 W.A.*BY.R.L.2700.2700.2.11*0000000000004OCI,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*212 Geschäftsführer*BY.R.L.2700.2700.2.12*0000000000004OAF,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*213 Seminarraum*BY.R.L.2700.2700.2.13*000000000000AMTN,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*214 Sekretariat*BY.R.L.2700.2700.2.14*0000000000004OB6,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*216 Prof.*BY.R.L.2700.2700.2.16*0000000000004OBE,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*217 Prof.*BY.R.L.2700.2700.2.17*0000000000004OCD,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*217A Flur*BY.R.L.2700.2700.2.17A*000000000000AMU0,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*217B Treppenhaus*BY.R.L.2700.2700.2.17B*000000000000AMU1,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*217C Flur*BY.R.L.2700.2700.2.17C*000000000000AMU2,,,
Altes Finanzamt, ALFI*Altes Finanzamt, ALFI*_2  OG2*217D Flur*BY.R.L.2700.2700.2.17D*000000000000C9IS,,,
